GeographicCode,FSA,Population,Dwellings,Residents
H2G,H2G,21981,12581,11762
H2H,H2H,14671,8368,7829
H2J,H2J,26559,16050,14820
H2K,H2K,28727,17565,16157
H2L,H2L,24222,15923,13983
H2M,H2M,18621,9241,8769
H2N,H2N,6334,2884,2667
H2P,H2P,14693,7846,7420
H2R,H2R,22436,12732,12023
H2S,H2S,27359,15854,14880
H2T,H2T,16272,9025,8305
H2V,H2V,31323,13670,12440
H2W,H2W,11305,6938,5967
H2X,H2X,19901,15204,12017
H2Y,H2Y,3455,2944,2113
H2Z,H2Z,2313,1937,1438
H3A,H3A,3580,3243,2159
H3B,H3B,581,636,301
H3C,H3C,10877,7353,6275
H3E,H3E,20461,10272,9642
H3G,H3G,7457,5802,4385
H3H,H3H,19025,13595,11433
H3J,H3J,11071,5353,5010
H3K,H3K,14919,8351,7644
H3L,H3L,20636,10087,9369
H3M,H3M,15478,6716,6363
H3N,H3N,28277,13223,12056
H3P,H3P,10208,3870,3650
H3R,H3R,9650,3832,3562
H3S,H3S,33125,15950,14355
H3T,H3T,12817,7254,6194
H3V,H3V,6648,4515,3941
H3W,H3W,30678,13311,12233
H3X,H3X,23069,10911,10040
H3Y,H3Y,9747,3616,3385
H3Z,H3Z,11813,6628,5852
H4A,H4A,26453,13105,11965
H4B,H4B,20368,10928,10079
H4C,H4C,17052,10068,9279
H4E,H4E,30513,15729,14720
H4G,H4G,29488,16471,15354
H4H,H4H,19268,9466,8990
H4J,H4J,18205,7712,7144
H4K,H4K,11257,4126,3938
H4L,H4L,36795,14940,14030
H4M,H4M,12325,4742,4474
H4N,H4N,29755,12365,11623
H4P,H4P,7149,3586,3312
H4R,H4R,27065,11297,10628
H4S,H4S,560,224,220
H4T,H4T,0,1,0
H4V,H4V,20338,9599,8794
H4W,H4W,24742,10472,9791
H4X,H4X,6289,2582,2409
H4Y,H4Y,5,3,3
H4Z,H4Z,10,5,5
H5A,H5A,0,0,0
H5B,H5B,5,2,2
H7A,H7A,20918,7374,7191
H7B,H7B,3037,1079,1053
H7C,H7C,8985,3750,3478
H7E,H7E,26385,10275,10030
H7G,H7G,21157,8902,8537
H7H,H7H,13828,5047,4983
H7J,H7J,2215,927,872
H7K,H7K,22259,8105,8004
H7L,H7L,37252,12957,12784
H7M,H7M,27898,10821,10614
H7N,H7N,42318,19668,18887
H7P,H7P,35056,12973,12804
H7R,H7R,30051,10903,10698
H7S,H7S,7346,3138,3037
H7T,H7T,24155,9786,9426
H7V,H7V,22594,10205,9427
H7W,H7W,41619,17441,16385
H7X,H7X,26124,8929,8787
H7Y,H7Y,9796,3411,3331
H8N,H8N,29465,13177,12342
H8P,H8P,22706,10971,10280
H8R,H8R,29913,14205,13010
H8S,H8S,24407,11897,10912
H8T,H8T,14796,6950,6575
H8Y,H8Y,19057,7725,7340
H8Z,H8Z,15161,5730,5578
H9A,H9A,15691,5394,5269
H9B,H9B,20943,7619,7405
H9C,H9C,11613,4130,4049
H9E,H9E,3098,1281,1200
H9G,H9G,15512,5799,5708
H9H,H9H,25449,9802,9510
H9J,H9J,21728,7638,7433
H9K,H9K,8557,2802,2737
H9P,H9P,3925,1541,1505
H9R,H9R,23861,9342,9023
H9S,H9S,22580,10830,10244
H9W,H9W,19324,6828,6662
H9X,H9X,9702,3951,3640
J0A,J0A,18840,8996,7989
J0B,J0B,62359,32233,26489
J0C,J0C,22745,10130,9394
J0E,J0E,48182,27506,20995
J0G,J0G,18556,9287,8250
J0H,J0H,52238,22562,21295
J0J,J0J,41213,18808,17028
J0K,J0K,139128,75674,61387
J0L,J0L,75957,32166,30833
J0M,J0M,23550,6973,5900
J0N,J0N,49434,19321,18841
J0P,J0P,39721,17168,16236
J0R,J0R,35633,20314,16233
J0S,J0S,31968,15988,13758
J0T,J0T,46277,42108,22756
J0V,J0V,25928,17229,11839
J0W,J0W,16025,11296,7513
J0X,J0X,45720,32616,19891
J0Y,J0Y,29439,13560,11862
J0Z,J0Z,34120,17535,14555
J1A,J1A,9251,4290,4056
J1C,J1C,6626,2708,2667
J1E,J1E,23643,12425,11305
J1G,J1G,19936,9423,8997
J1H,J1H,27256,16625,14124
J1J,J1J,14462,7377,7013
J1K,J1K,6904,4043,3098
J1L,J1L,14301,7498,7015
J1M,J1M,5376,3007,2391
J1N,J1N,32394,13274,12980
J1R,J1R,10423,3959,3914
J1S,J1S,7919,3584,3372
J1T,J1T,7693,3931,3619
J1X,J1X,31584,17497,14459
J1Z,J1Z,5612,2173,2125
J2A,J2A,11724,4813,4646
J2B,J2B,30349,14637,13967
J2C,J2C,29763,14301,13786
J2E,J2E,4086,1830,1805
J2G,J2G,28283,14923,14317
J2H,J2H,19822,7802,7661
J2J,J2J,18115,8154,7969
J2K,J2K,16665,7674,7266
J2L,J2L,9052,5204,3959
J2M,J2M,6941,2901,2721
J2N,J2N,8909,4187,3894
J2R,J2R,10241,4332,4264
J2S,J2S,29128,14953,13953
J2T,J2T,16309,7782,7282
J2W,J2W,28279,10865,10739
J2X,J2X,19786,8274,8075
J2Y,J2Y,5672,2191,2175
J3A,J3A,8455,4887,4770
J3B,J3B,32742,15802,15067
J3E,J3E,29847,11184,11064
J3G,J3G,31982,13134,12856
J3H,J3H,25815,10477,10259
J3L,J3L,48606,19394,18798
J3M,J3M,10751,4529,4398
J3N,J3N,17059,6447,6391
J3P,J3P,24977,12623,11834
J3R,J3R,14199,7110,6761
J3T,J3T,8169,3751,3546
J3V,J3V,25953,10298,10124
J3X,J3X,21257,8315,8161
J3Y,J3Y,61954,25316,24853
J3Z,J3Z,4863,1521,1507
J4B,J4B,41671,17134,16888
J4G,J4G,9875,4653,4527
J4H,J4H,15144,8222,7740
J4J,J4J,29492,15261,14301
J4K,J4K,25903,13723,12646
J4L,J4L,30266,13883,12993
J4M,J4M,13048,4884,4776
J4N,J4N,9876,4638,4466
J4P,J4P,10798,5528,5061
J4R,J4R,9982,4813,4527
J4S,J4S,6155,3155,3022
J4T,J4T,17836,8275,7894
J4V,J4V,16543,7379,7079
J4W,J4W,18319,7506,7264
J4X,J4X,17657,6752,6615
J4Y,J4Y,23179,8867,8612
J4Z,J4Z,26576,11130,10771
J5A,J5A,27312,10263,10093
J5B,J5B,7443,2943,2880
J5C,J5C,17047,6845,6751
J5J,J5J,15690,6578,6225
J5K,J5K,16019,6200,5954
J5L,J5L,20067,8383,8067
J5M,J5M,20788,8360,8074
J5R,J5R,45157,17872,17529
J5T,J5T,13657,5507,5351
J5V,J5V,7152,3704,3519
J5W,J5W,25868,10426,10171
J5X,J5X,8693,3564,3398
J5Y,J5Y,29382,10965,10840
J5Z,J5Z,27327,11365,11177
J6A,J6A,33489,14508,14182
J6E,J6E,43876,21064,20240
J6J,J6J,23457,9750,9446
J6K,J6K,24449,9616,9352
J6N,J6N,15189,7118,6765
J6R,J6R,13115,4932,4839
J6S,J6S,23518,10934,10553
J6T,J6T,17227,8422,8070
J6V,J6V,12315,4679,4591
J6W,J6W,32007,13486,13207
J6X,J6X,23026,8766,8676
J6Y,J6Y,19967,6857,6693
J6Z,J6Z,18958,7476,7333
J7A,J7A,14083,5216,5130
J7B,J7B,13029,4253,4191
J7C,J7C,41925,16024,15702
J7E,J7E,30476,13875,13411
J7G,J7G,17218,7108,6981
J7H,J7H,6982,2823,2748
J7J,J7J,23008,9473,9142
J7K,J7K,34964,13932,13611
J7L,J7L,11728,4390,4289
J7M,J7M,24207,8815,8615
J7N,J7N,27495,10912,10481
J7P,J7P,24790,10839,10582
J7R,J7R,36714,15143,14858
J7T,J7T,26699,9534,9372
J7V,J7V,63003,24931,24236
J7W,J7W,14558,5556,5471
J7X,J7X,5368,2285,2200
J7Y,J7Y,24934,12233,11646
J7Z,J7Z,29351,14702,13931
J8A,J8A,9113,5073,4007
J8B,J8B,12919,7602,6283
J8C,J8C,10559,6798,5040
J8E,J8E,9687,8149,4574
J8G,J8G,7849,4895,3488
J8H,J8H,13810,7522,6454
J8L,J8L,18626,8408,7775
J8M,J8M,12981,5168,5058
J8N,J8N,12054,6886,4770
J8P,J8P,33621,15623,14810
J8R,J8R,29175,10972,10811
J8T,J8T,39349,18837,17821
J8V,J8V,26483,10093,9772
J8X,J8X,9749,6661,5474
J8Y,J8Y,23241,13170,11940
J8Z,J8Z,14938,7779,7232
J9A,J9A,21438,9798,9143
J9B,J9B,6898,2894,2607
J9E,J9E,7769,4013,3644
J9H,J9H,31023,13411,12780
J9J,J9J,32714,12516,11916
J9L,J9L,14002,6830,6319
J9P,J9P,32766,15458,14648
J9T,J9T,13381,6076,5791
J9V,J9V,3462,1870,1620
J9X,J9X,23669,12372,11480
J9Y,J9Y,10201,4185,3886
J9Z,J9Z,7340,3667,3432
K0A,K0A,103474,40512,38794
K0B,K0B,20945,9395,8714
K0C,K0C,52154,22366,21132
